	Comp.1	Comp.2	Comp.3	Comp.4	Comp.5	Comp.6
Itália	0.0796	-4.7684	0.0922	0.3013	0.3266	0.2819
Espanha	0.4513	-5.7962	1.2968	0.3819	0.9095	0.1914
Croácia	-1.7908	-0.8416	0.0145	-1.5911	0.1811	-0.4065
Brasil	3.448	-0.9062	0.2499	0.2469	-0.6788	-1.0215
Rússia	-4.5417	4.3595	-0.0156	1.76	0.4539	-0.1299
Alemanha	-8.3095	0.5446	1.9864	-0.3819	-0.8144	0.0869
Turquia	4.5991	-2.2306	-0.3223	0.1513	-0.6417	0.2367
Marrocos	5.1923	-0.0863	-0.4045	0.2746	-0.5028	0.3295
Peru	0.913	0.6241	-0.4731	0.4676	0.018	-0.6031
Nigéria	2.5911	4.8643	0.1585	-0.6316	0.2394	0.1379
França	-6.6956	-2.0063	-2.7319	-0.2799	-0.0306	0.1222
México	2.7158	3.3806	0.0858	-0.6728	1.1078	-0.0102
